Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An optimized quad-ensemble short term load forecasting (STLF) method for electricity usage prediction using deep learning","International Journal of Information Technology","","16","4","10.1007/s41870-024-01761-w","PushpaSanjeev Indora","2024","http://link.springer.com/article/10.1007/s41870-024-01761-w","Article"
"Community detection of weighted complex networks via transitive closure","Computing","","106","3","10.1007/s00607-023-01249-8","Ahmadi HasanAhmad Kamal","2024","http://link.springer.com/article/10.1007/s00607-023-01249-8","Article"
"Into the unknown: active monitoring of neural networks (extended version)","International Journal on Software Tools for Technology Transfer","","25","4","10.1007/s10009-023-00711-4","Konstantin KueffnerAnna LukinaChristian SchillingThomas A. Henzinger","2023","http://link.springer.com/article/10.1007/s10009-023-00711-4","Article"
"Shapelet Based Two-Step Time Series Positive and Unlabeled Learning","Journal of Computer Science and Technology","","38","6","10.1007/s11390-022-1320-9","Han-Bo ZhangPeng WangMing-Ming ZhangWei Wang","2023","http://link.springer.com/article/10.1007/s11390-022-1320-9","Article"
"Visual Topic Semantic Enhanced Machine Translation for Multi-Modal Data Efficiency","Journal of Computer Science and Technology","","38","6","10.1007/s11390-023-1302-6","Chao WangSi-Jia CaiBei-Xiang ShiZhi-Hong Chong","2023","http://link.springer.com/article/10.1007/s11390-023-1302-6","Article"
"Design and evaluation of a collaborative UML modeling environment in virtual reality","Software and Systems Modeling","","22","5","10.1007/s10270-022-01065-2","Enes YigitbasSimon GorissenNils WeidmannGregor Engels","2023","http://link.springer.com/article/10.1007/s10270-022-01065-2","Article"
"Deep-learning based sleep apnea detection using sleep sound, SpO2, and pulse rate","International Journal of Information Technology","","","","10.1007/s41870-024-01906-x","Chutinan SingtothongThitirat Siriborvornratanakul","2024","http://link.springer.com/article/10.1007/s41870-024-01906-x","Article"
"Application of network embedding and transcriptome data in supervised drug repositioning","International Journal of Information Technology","","15","5","10.1007/s41870-023-01302-x","Özge KartGökhan Kökçüİrem Naz ÇoçanBerivan TonçAli CüvitoğluZerrin Isik","2023","http://link.springer.com/article/10.1007/s41870-023-01302-x","Article"
"Knowledge representation of the state of a cloud-native application","International Journal on Software Tools for Technology Transfer","","26","1","10.1007/s10009-023-00705-2","Joanna KosińskaGrzegorz BrotońMaciej Tobiasz","2024","http://link.springer.com/article/10.1007/s10009-023-00705-2","Article"
"Semantically realizing discovery and composition for RESTful web services","Computing","","106","7","10.1007/s00607-024-01289-8","Haijun GuYingyu MaSiqi WangXincheng ChenWeihua Su","2024","http://link.springer.com/article/10.1007/s00607-024-01289-8","Article"
"Utilizing graph Fourier transform for automatic Alzheimer’s disease detection from EEG signals","International Journal of Information Technology","","16","3","10.1007/s41870-023-01676-y","Ramnivas SharmaHemant Kumar Meena","2024","http://link.springer.com/article/10.1007/s41870-023-01676-y","Article"
"An adaptive learning paradigm: event detection through a novel dynamic arithmetic optimization-based ensemble SVM for data stream classification","International Journal of Information Technology","","16","5","10.1007/s41870-024-01832-y","R. Mary VidyaM. Ramakrishna","2024","http://link.springer.com/article/10.1007/s41870-024-01832-y","Article"
"Investigating brain activity patterns during learning tasks through EEG and machine learning analysis","International Journal of Information Technology","","16","5","10.1007/s41870-024-01856-4","Ryan ChoMobasshira ZamanKyu Taek ChoJaejin Hwang","2024","http://link.springer.com/article/10.1007/s41870-024-01856-4","Article"
"Performance evaluation of software defect prediction with NASA dataset using machine learning techniques","International Journal of Information Technology","","15","8","10.1007/s41870-023-01528-9","Tamanna SiddiquiMohd Mustaqeem","2023","http://link.springer.com/article/10.1007/s41870-023-01528-9","Article"
"Enhancing security and efficiency in MANETs: a clustering-based approach with CGRUN and AGTO optimization for intrusion detection and path establishment","International Journal of Information Technology","","","","10.1007/s41870-024-01859-1","Saravanan SelvarajMidhun Chakkaravarthy","2024","http://link.springer.com/article/10.1007/s41870-024-01859-1","Article"
"On the persistent rumors of the programmer’s imminent demise","Software and Systems Modeling","","22","6","10.1007/s10270-023-01136-y","Hessam MohammadiWided GhardallouElijah BrickAli Mili","2023","http://link.springer.com/article/10.1007/s10270-023-01136-y","Article"
"Unified Programming Models for Heterogeneous High-Performance Computers","Journal of Computer Science and Technology","","38","1","10.1007/s11390-023-2888-4","Zi-Xuan MaYu-Yang JinShi-Zhi TangHao-Jie WangWei-Cheng XueJi-Dong ZhaiWei-Min Zheng","2023","http://link.springer.com/article/10.1007/s11390-023-2888-4","Article"
"Text recognition using improved dual attention based on textual double embedding network with aquila optimization algorithm","International Journal of Information Technology","","","","10.1007/s41870-024-01984-x","Harsiddhi SinghdevShruti GuptaVivek SrivastavaApoorva Saxena","2024","http://link.springer.com/article/10.1007/s41870-024-01984-x","Article"
"Impact of image enhancement methods on lung disease diagnosis using x-ray images","International Journal of Information Technology","","15","7","10.1007/s41870-023-01409-1","Prashant BhardwajAmanpreet Kaur","2023","http://link.springer.com/article/10.1007/s41870-023-01409-1","Article"
"Optimizing constrained engineering problem nH-WDEOA: using hybrid nature-inspired algorithm","International Journal of Information Technology","","16","3","10.1007/s41870-023-01654-4","Pawan MishraPoojaShashi Prakash Tripathi","2024","http://link.springer.com/article/10.1007/s41870-023-01654-4","Article"
"Guest Editorial: Intelligence for systems and software engineering","Innovations in Systems and Software Engineering","","19","1","10.1007/s11334-023-00526-1","Mike HincheyAmit JainManju KaushikSanjay Misra","2023","http://link.springer.com/article/10.1007/s11334-023-00526-1","Article"
"Advancing ADHD diagnosis: using machine learning for unveiling ADHD patterns through dimensionality reduction on IoMT actigraphy signals","International Journal of Information Technology","","","","10.1007/s41870-024-01895-x","Muzafar Mehraj MisgarM. P. S. Bhatia","2024","http://link.springer.com/article/10.1007/s41870-024-01895-x","Article"
"Mutual character dialogue generation with semi-supervised multitask learners and awareness","International Journal of Information Technology","","16","3","10.1007/s41870-023-01720-x","Ayesheh Ahrari KhalafAisha Hassan Abdalla HashimAkeem Olowolayemo","2024","http://link.springer.com/article/10.1007/s41870-023-01720-x","Article"
"Optimized Homomorphic Encryption (OHE) algorithms for protecting sensitive image data in the cloud computing environment","International Journal of Information Technology","","","","10.1007/s41870-024-01921-y","Revati Raman DewanganSunita SoniAshish Mishal","2024","http://link.springer.com/article/10.1007/s41870-024-01921-y","Article"
"Fusing facial and speech cues for enhanced multimodal emotion recognition","International Journal of Information Technology","","16","3","10.1007/s41870-023-01697-7","Pragya Singh TomarKirti MathurUgrasen Suman","2024","http://link.springer.com/article/10.1007/s41870-023-01697-7","Article"
"Requirements management in DevOps environments: a multivocal mapping study","Requirements Engineering","","28","3","10.1007/s00766-023-00396-w","Rogelio HernándezBegoña MorosJoaquín Nicolás","2023","http://link.springer.com/article/10.1007/s00766-023-00396-w","Article"
"Dialog generation for Arabic chatbot","International Journal of Information Technology","","16","2","10.1007/s41870-023-01519-w","Farida YounessMohamed Ashraf MadkourAyman Elshenawy","2024","http://link.springer.com/article/10.1007/s41870-023-01519-w","Article"
"A novel facial emotion recognition model using segmentation VGG-19 architecture","International Journal of Information Technology","","15","4","10.1007/s41870-023-01184-z","S. VigneshM. SavithadeviM. SrideviRajeswari Sridhar","2023","http://link.springer.com/article/10.1007/s41870-023-01184-z","Article"
"WavEnhancer: Unifying Wavelet and Transformer for Image Enhancement","Journal of Computer Science and Technology","","39","2","10.1007/s11390-024-3414-z","Zi-Nuo Li 李梓诺Xu-Hang Chen 陈绪行Shu-Na Guo 郭淑娜Shu-Qiang Wang 王书强Chi-Man Pun 潘治文","2024","http://link.springer.com/article/10.1007/s11390-024-3414-z","Article"
"Anomaly detection framework for highly scattered and dynamic data on large-scale networks using AWS","International Journal of Information Technology","","","","10.1007/s41870-024-01765-6","Richa SinghNidhi SrivastavaAshwani Kumar","2024","http://link.springer.com/article/10.1007/s41870-024-01765-6","Article"
"DeepFake Videos Detection Using Crowd Computing","International Journal of Information Technology","","","","10.1007/s41870-023-01494-2","Yalamanchili SaliniJ. HariKiran","2023","http://link.springer.com/article/10.1007/s41870-023-01494-2","Article"
"Multimodal Interactive Network for Sequential Recommendation","Journal of Computer Science and Technology","","38","4","10.1007/s11390-022-1152-7","Teng-Yue HanPeng-Fei WangShao-Zhang Niu","2023","http://link.springer.com/article/10.1007/s11390-022-1152-7","Article"
"Analysing the email data using stylometric method and deep learning to mitigate phishing attack","International Journal of Information Technology","","","","10.1007/s41870-024-01839-5","Peace Nmachi WosahQublai Ali MirzaWill Sayers","2024","http://link.springer.com/article/10.1007/s41870-024-01839-5","Article"
"Assessing and prioritizing crucial drivers for CloudIoT-based healthcare adoption: an analytic hierarchy process approach","International Journal of Information Technology","","","","10.1007/s41870-024-01742-z","Iyad AltawaihaRodziah AtanRazali Bin YaakobRusli Bin Hj Abdullah","2024","http://link.springer.com/article/10.1007/s41870-024-01742-z","Article"
"A big data smart agricultural system: recommending optimum fertilisers for crops","International Journal of Information Technology","","15","1","10.1007/s41870-022-01150-1","Vuong M. NgoThuy-Van T. DuongTat-Bao-Thien NguyenCach N. DangOwen Conlan","2023","http://link.springer.com/article/10.1007/s41870-022-01150-1","Article"
"Deep-efficient-guard: securing wireless ad hoc networks via graph neural network","International Journal of Information Technology","","","","10.1007/s41870-023-01702-z","Sehba MasoodAasim Zafar","2024","http://link.springer.com/article/10.1007/s41870-023-01702-z","Article"
